category,title_ar,title_en,slug,active_period,school
thinkers,ألكسندر بَتياني,Alexander Batthyány,thk-abatth,1998,br-logotherapy
thinkers,أوغوستو بوال,Augusto Boal,thk-aboal,1971-2009,علاج الدراما
thinkers,أرماند فولكاس,Armand Volkas,thk-aboller,1990,الشعر العلاجي
thinkers,آدم بلاتنر,Adam Blatner,thk-adamblatner,1970-2020,السيكودراما والسوسيومتري (Moreno)
thinkers,أبِي فاريا,Abbé Faria,thk-afaria,1813-1819,الماسمرية
thinkers,أرنولد غولدشتاين,Arnold P. Goldstein,thk-agoldstein,1973-2002,br-aggression-treatment
thinkers,أليكس هالفرد,Alex Halford,thk-ahalford,1995,CBCT (العلاج الزوجي المعرفي-السلوكي)
thinkers,ألكسا هِبِرن,Alexa Hepburn,thk-ahepburn,1995,علم النفس الخطابي (Discursive Psychology)
thinkers,أدريان هيل,Adrian Hill,thk-ahill,1939-1977,العلاج بالفن
thinkers,ألبرت هوفمان,Albert Hofmann,thk-ahofmann,1938-2008,العلاج بمساعدة المواد النفسانية
thinkers,أتسيلا كلاينغر,Atzila Klingner,thk-aklinger,1995,العلاج التكاملي-النمائي (DIR/Floortime)
thinkers,إيمي فونتانا,Amy E. Fontana,thk-albertellis-somatic,2000,الخبرة الجسدية (Somatic Experiencing)
thinkers,ألكسندرا فاركاش,Alexandra Farkas,thk-alexandra-farkas,2015,العلاج الحسي-الحركي (Sensorimotor Psychotherapy)
thinkers,ألي كورازون,Ali B. Coronado,thk-alicorazon,1995,Sikolohiyang Pilipino (Filipino Psychology)
thinkers,أمبرواز ليبو,Ambroise-Auguste Liébeault,thk-aliebeault,1860-1904,الماسمرية
thinkers,أليكس لينلي,Alex Linley,thk-alinley,2001,العلاج القائم على القوة (Strengths-Based)
thinkers,ألفين مارر,Alvin R. Mahrer,thk-alvinmahrer,1970-2010,العلاج بالخبرة/التجريبي
thinkers,أليس ميلر,Alice Miller,thk-amiller,1979-2010,علم نفس الطفل
