category,title_ar,title_en,slug,active_period,school
thinkers,مارييل كروغر,Marielle Kruger,thk-mariellekruger,2015,الأنساق الأسرية الداخلية (IFS)
thinkers,ماريسا بيركوور,Marisa Berkouwer,thk-marisaberkouwer,2010,العلاج الحسي-الحركي (Sensorimotor Psychotherapy)
thinkers,مارك سانتروس,Mark R. Dombeck,thk-mark-santross,2000,PCIT (العلاج التفاعلي بين الوالد والطفل)
thinkers,مارك ويلش,Mark Welch,thk-markwelch,2000,العلاج بالخبرة/التجريبي
thinkers,ماري إلمكويست,Mary Elmquist,thk-mary-elmquist,2010,br-recovery-oriented
thinkers,ماري غوثري,Mary Guthrie,thk-mary-guthrie,2012,العلاج الديناميكي البيني القصير (DIT)
thinkers,ماري ستيوارت,Mary Stewart,thk-mary-stewart,1980,تحليل المعاملات (TA)
thinkers,ماساكي تاكاهاشي,Masaaki Takahashi,thk-masaaki-takahashi,1980,علاج نايكان
thinkers,مارفن تشِن,Marvin Chen,thk-mchen,1985-2010,السيكودراما والسوسيومتري
thinkers,ماريك تشيسلاك,Marek Cieslak,thk-mcieslak,,البحث الظاهراتي (Phenomenological Research)
thinkers,دانيال بيت,Daniel P. Behnke,thk-michael-yapko-jr,2010,التنويم الإريكسوني
thinkers,بيتر فيشر,Peter Fisher,thk-pfisher,2000,العلاج متعدد الأجهزة (MST)
thinkers,بيتر غودفري,Peter A. Godfrey,thk-pgodfrey,1990,العلاج العلائقي المجسد (ERT)
thinkers,بي. كيت هَكْني,P. Cathy Hackney,thk-phackney,1990,Body-Mind Centering
thinkers,مايكل بيبيتي,Michael Pīpīte,thk-pipitea,2005,Te Whare Tapa Whā (نموذج)
thinkers,روني لانجفان,Roni L. Langevin,thk-plangevin,1983-2005,br-sotp
thinkers,رافائيل إيدث,Rafaeli Eyth,thk-rafaeli-eyth,2000,br-performance-psychology
thinkers,راندي ستابلر,Randy Stabler,thk-randystabler,2010,br-mst
thinkers,روبرت باور,Robert Bauer,thk-rbauer,1980-2010,السيكودراما والسوسيومتري
thinkers,راندي هوتون,Randy Hooton,thk-rhooton,1970,العلاج البدائي
thinkers,ريك ليفي,Rick A. Levy,thk-rick-levy,2015,PCIT (العلاج التفاعلي بين الوالد والطفل)
thinkers,راماكريشنا نارايان,R. K. Narayan,thk-rk-narayan,1980,علم النفس الفيدي (المستند إلى الفيد)
