category,title_ar,title_en,slug,active_period,school,status,note
thinkers,ماريون فورغاتش,Marion S. Forgatch,thk-mforgatch,1980-2020,PMTO (نموذج أوريغون لتدريب الوالدين),VERIFIED,Confirmed developer of PMTO
thinkers,مايكل ف. هويت,Michael F. Hoyt,thk-mhoyt,1980-2020,br-single-session-therapy,VERIFIED,Confirmed SST originator
thinkers,مايكل ميثوفير,Michael C. Mithoefer,thk-mmithoefer,2000-2023,العلاج النفسي بمساعدة MDMA,VERIFIED,Confirmed MAPS lead clinical investigator
thinkers,مالكولم بارلِت,Malcolm Parlett,thk-mparlett,1978-present,نظرية المجال في علاج الجشطالت,VERIFIED,Confirmed Gestalt field theory figure
thinkers,مويبِنغ ديزموند ماغوناو رَموسي,Mogobe B. Ramose,thk-mramose,1983-2020s,علم نفس/فلسفة الأوبونتو,VERIFIED,Confirmed Ubuntu philosopher
thinkers,ميليسا رولاند,Melisa D. Rowland,thk-mrowland,2000-2010s,العلاج متعدد الأجهزة (MST),VERIFIED,Confirmed MST Services co-founder
thinkers,موشيه تالمون,Moshe Talmon,thk-mtalmon,1985-2010,br-single-session-therapy,VERIFIED,Confirmed SST book author
thinkers,ميلتون فيدرمان,Milton Viederman,thk-mviederman,1970-2000s,الطب النفسي الجسدي والتحليل النفسي,VERIFIED,Confirmed Weill Cornell psychiatrist
thinkers,فيليب كَننغهام,Philippe B. Cunningham,thk-philippe-cunningham,2000,br-mst,VERIFIED,"Confirmed real: Phillippe B. Cunningham, PhD, psychologist, MST (Multisystemic Therapy) researcher/clinician. Note: correct spelling is 'Phillippe' (double L), not 'Philippe'."
thinkers,[مؤسِّسو AJA / BJAA / SAP / IGAP / GAP],Founders of UK Jungian associations,thk-rklenck,,مدرسة التحليل النفسي,VERIFIED,"Confirmed real: these are genuine UK Jungian analytic organizations (Association of Jungian Analysts, Society of Analytical Psychology, Independent Group of Analytical Psychologists, Guild of Analytical Psychologists), founded by figures including Gerhard Adler, Michael Fordham, and others. Entry represents a group/concept rather than one individual, consistent with the title given."
thinkers,روبرت روتيلا,Robert J. Rotella,thk-robert-rotella,1985,br-sport-psychology,VERIFIED,"Real, well-known sport psychologist (golf mental coaching), matches school label."
thinkers,سكوت هِنغلَر,Scott W. Henggeler,thk-shenggeler,1980,العلاج متعدد الأجهزة (MST),VERIFIED,"Real, well-documented psychologist, founding developer of Multisystemic Therapy (MST), Medical University of South Carolina."
thinkers,سونيا شونوالد,Sonja K. Schoenwald,thk-sschoenwald,1990,العلاج متعدد الأجهزة (MST),VERIFIED,"Real, well-documented co-founder of MST Services and key MST implementation researcher, alongside Scott Henggeler."
thinkers,تيموثي ليري,Timothy Leary,thk-tleary,1960-1996,العلاج بمساعدة المواد النفسانية,VERIFIED,"Confirmed: Harvard psychologist (1920-1996), pioneer of psychedelic-assisted psychology research in the early 1960s."
thinkers,فرجينيا جونسون,Virginia E. Johnson,thk-vjohnson,1957-2013,br-sex-therapy,VERIFIED,"Confirmed: American sexologist (1925-2013), co-founder of the Masters and Johnson sex research/therapy program."
thinkers,ويندي دريدن,Windy Dryden,thk-wdryden,1985,br-single-session-therapy,VERIFIED,Confirmed: prominent REBT and Single-Session Therapy trainer/author.
thinkers,وليام ماسترز,William H. Masters,thk-wmasters,1957-2001,br-sex-therapy,VERIFIED,"Confirmed: American gynecologist (1915-2001), co-founder of the Masters and Johnson sex research/therapy program."
