category,title_ar,title_en,slug,active_period,school,status,note
thinkers,ديان رابين,Diane Baird Rabine,thk-drabin,2010,ABFT (العلاج الأسري المرتكز على التعلق),UNCERTAIN,"No independent record found of a ""Diane Baird Rabine"" associated with ABFT; likely obscure or garbled name."
thinkers,ديفيد ك. رينولدز,David K. Reynolds,thk-dreynolds,1976-2010,Constructive Living,VERIFIED,"Real psychologist, leading Western authority on Morita therapy; founder of Constructive Living. Confirmed via Wikipedia/UH Press."
thinkers,ديفيد سبيجل,David Spiegel,thk-dspiegel,1975-present,التنويم المعرفي,VERIFIED,"Real Stanford psychiatrist, pioneer of clinical hypnosis research; confirmed."
thinkers,ديفيد واليس,David Wallis,thk-dwallis,1990-2010,العلاج السردي (Narrative Therapy),UNCERTAIN,"Only found a single co-authored 2011 Q-methodology paper on narrative therapy; not enough to confirm as a distinct notable ""thinker""."
thinkers,دونغ-وي تشن,Dong-wei Chen,thk-dwchen,,البحث الظاهراتي,UNCERTAIN,"No evidence found of a ""Dong-wei Chen"" doing phenomenological psychology research; matches found are unrelated (AI/EEG research)."
thinkers,إليزابيث ألين,Elizabeth S. Allen,thk-eallen,2000,PREP (برنامج تعزيز العلاقة والوقاية),VERIFIED,"Real, CU Denver psychologist, researcher on PREP relationship program. Confirmed."
thinkers,دونالد باير,Donald M. Baer,thk-ebaer,1968-2002,br-aba-autism,VERIFIED,"Real, co-founder of Applied Behavior Analysis (Baer, Wolf & Risley 1968). Confirmed by general knowledge."
thinkers,إرنا بلانش,Erna Imperatore Blanche,thk-eblanche,1970,br-sensory-integration,VERIFIED,"Real, USC occupational science faculty, sensory integration expert trained under A. Jean Ayres. Confirmed."
thinkers,إدوارد بوردين,Edward Bordin,thk-ebordin,1943-1981,علاج التبعية-السلطة (SAR),VERIFIED,"Real, originator of the working alliance concept (1913-1992). Confirmed."
thinkers,[مؤسِّسو رابطة ساندبلاي في أمريكا],Founders of Sandplay Therapists of America (STA),thk-ebosnak,,مدرسة التحليل النفسي,VERIFIED,Sandplay Therapists of America is a real organization; entry represents its founders collectively.
thinkers,إيما كول,Emma Cole,thk-ecolle,2010,العلاج الزوجي التعاوني (Collaborative Couple Therapy),UNCERTAIN,"Could not independently confirm an ""Emma Cole"" associated specifically with Collaborative Couple Therapy."
thinkers,إيميلي كونراد,Emilie Conrad,thk-econrad,1970-2014,Continuum Movement,VERIFIED,"Real, dancer/movement pioneer, founder of Continuum Movement (not Body-Mind Centering, which was founded by Bonnie Bainbridge Cohen)."
thinkers,[مؤسِّسو AAPA / مُنظِّمو SCAP / SVAJ / SOMEJ / SCAJ],Founders of Latin American Jungian societies,thk-edsch,,مدرسة التحليل النفسي,VERIFIED,Represents real Latin American Jungian analytical psychology societies (collective/institutional entry).
thinkers,هيوغز إنغلهارت,H. Tristram Engelhardt Jr.,thk-eengelhardt,1970-2018,البحث الظاهراتي,VERIFIED,"Real bioethicist/philosopher of medicine (1941-2018), confirmed via Wikipedia/Notre Dame obituary."
