category,title_ar,title_en,slug,active_period,school
thinkers,ديان رابين,Diane Baird Rabine,thk-drabin,2010,ABFT (العلاج الأسري المرتكز على التعلق)
thinkers,ديفيد ك. رينولدز,David K. Reynolds,thk-dreynolds,1976-2010,Constructive Living
thinkers,ديفيد سبيجل,David Spiegel,thk-dspiegel,1980,التنويم المعرفي
thinkers,ديفيد واليس,David Wallis,thk-dwallis,1990-2010,العلاج السردي (Narrative Therapy)
thinkers,دونغ-وي تشن,Dong-wei Chen,thk-dwchen,,البحث الظاهراتي
thinkers,إليزابيث ألين,Elizabeth S. Allen,thk-eallen,2000,PREP (برنامج تعزيز العلاقة والوقاية)
thinkers,دونالد باير,Donald M. Baer,thk-ebaer,1968-2001,br-aba-autism
thinkers,إرنا بلانش,Erna Imperatore Blanche,thk-eblanche,1970,br-sensory-integration
thinkers,إدوارد بوردين,Edward Bordin,thk-ebordin,1943-1981,علاج التبعية-السلطة (SAR)
thinkers,[مؤسِّسو رابطة ساندبلاي في أمريكا],Founders of Sandplay Therapists of America (STA),thk-ebosnak,,مدرسة التحليل النفسي
thinkers,إيما كول,Emma Cole,thk-ecolle,2010,العلاج الزوجي التعاوني (Collaborative Couple Therapy)
thinkers,إيميلي كونراد,Emilie Conrad,thk-econrad,1970-2014,Body-Mind Centering
thinkers,[مؤسِّسو AAPA / مُنظِّمو SCAP / SVAJ / SOMEJ / SCAJ],Founders of Latin American Jungian societies,thk-edsch,,مدرسة التحليل النفسي
thinkers,هيوغز إنغلهارت,H. Tristram Engelhardt Jr.,thk-eengelhardt,1970-2018,البحث الظاهراتي
thinkers,إدوارد فريدمان,Edward H. Friedman,thk-efriedman,1980,العلاج الأسري بالأنساق (بوين)
thinkers,إيميت هاتشنز,Emmett Hutchins,thk-ehutchins,1970-2010,الرولفينغ والتكامل الهيكلي
thinkers,إيفان إمبير-بلاك,Evan Imber-Black,thk-eimber,1990,br-dynamic-couples-family-therapy
thinkers,ستانلي كِلمان,Stanley Keleman,thk-ekeleman,1970-2018,PBSP (Pesso Boyden System Psychomotor)
thinkers,إرڤين لازلو,Ervin Laszlo,thk-e-laszlo,1966,النظرية العامة للأنظمة
thinkers,إيلينور كريزوستومو,Eleanor Crisostomo,thk-eleanor-crisostomo,2000,Sikolohiyang Pilipino (Filipino Psychology)
thinkers,إيلين ليفين,Ellen Levine,thk-elevine,1990,الفنون التعبيرية التعددية
thinkers,إلين ربيك,Elin Rbæk,thk-elin-rbaek,2000,فرق العكس العاكسة (Reflecting Teams)
thinkers,إليزابيث لوكاس,Elisabeth S. Lukas,thk-elukas,1972,br-logotherapy
thinkers,إيف مارودا,Evelyn Maroda,thk-emaroda,1998,العلاج العلائقي المجسد (ERT)
thinkers,إميل كوي,Émile Coué,thk-emilecoue,1910-1926,التنويم الذاتي
thinkers,روبرت إيمونز,Robert A. Emmons,thk-emmons,1990,علم النفس الإيجابي (Seligman)
thinkers,إرفينغ بولستر,Erving Polster,thk-epolster,1965-2019,علاج الجشطالت (Gestalt Therapy)
thinkers,إريك رايشيلت,Eric Reichelt,thk-ereichelt,1970,br-teacch
thinkers,إيرل إريكسون,Ernest Lawrence Rossi,thk-erickson-erl,1970-2009,التنويم الإريكسوني
thinkers,إريك پيرسون,Erik Pearson,thk-erikpearson,2005,br-restorative-justice
thinkers,إيلينور روش,Eleanor Rosch,thk-erosch,1973,br-embodied-cognition-therapy
thinkers,إدغار شين,Edgar H. Schein,thk-eschein,1956-2022,الحقل الظاهراتي (Lewin)
thinkers,إيفان تومسون,Evan Thompson,thk-ethompson,1990,br-embodied-cognition-therapy
thinkers,يوجين تيلور,Eugene Taylor,thk-eugenetaylor,1980-2018,العلاج بالخبرة/التجريبي
thinkers,إيفريت شوستروم,Everett L. Shostrom,thk-everettshostrom,1963-1992,علم النفس الإنساني
thinkers,إيفانجلين مانس,Evangeline Munns,thk-evmunns,1985,Theraplay (العلاج بالألعاب العلائقي)
