category,title_ar,title_en,slug,active_period,school
thinkers,دانيال بيت,Daniel P. Behnke,thk-michael-yapko-jr,2010,التنويم الإريكسوني
thinkers,بيتا ستاپلتون,Peta Stapleton,thk-peta-stapleton,2010,تقنيات الحرية الانفعالية (EFT)
thinkers,بيتر كلاف,Peter Clough,thk-peter-clough,2000,br-performance-psychology
thinkers,بيتر كيلرمان,Peter F. Kellermann,thk-peterkellermann,1979,السيكودراما والسوسيومتري (Moreno)
thinkers,بيتر سميث,Peter K. Smith,thk-petersmith,1990,علاج التنمر والعدوان
thinkers,بيتر فيشر,Peter Fisher,thk-pfisher,2000,العلاج متعدد الأجهزة (MST)
thinkers,بيتر فونيغي,Peter Fonagy,thk-pfonel,1990,DDP (العلاج التفاعلي النمائي الثنائي)
thinkers,بول فريك,Paul J. Frick,thk-pfrick,1990,br-aggression-treatment
thinkers,بيتر غَسَر,Peter Gasser,thk-pgasser,2010,العلاج بمساعدة MDMA (MAPS)
thinkers,بيتر غودفري,Peter A. Godfrey,thk-pgodfrey,1990,العلاج العلائقي المجسد (ERT)
thinkers,فيليب غيرين,Philip J. Guerin,thk-pguerin,1976-2014,العلاج الأسري بالأنساق (بوين)
thinkers,بي. كيت هَكْني,P. Cathy Hackney,thk-phackney,1990,Body-Mind Centering
thinkers,بول واطزلاويك,Paul Watzlawick,thk-phaley,1960-2007,العلاج الأسري الاستراتيجي (بالي ألتو/MRI)
thinkers,باتريشا هيل كولينز,Patricia Hill Collins,thk-phcollins,1986,br-intersectional-feminist
thinkers,فيليب كَننغهام,Philippe B. Cunningham,thk-philippe-cunningham,2000,br-mst
thinkers,مايكل بيبيتي,Michael Pīpīte,thk-pipitea,2005,Te Whare Tapa Whā (نموذج)
thinkers,باولو نيل,Paolo J. Knill,thk-pknill,1978,الفنون التعبيرية التعددية
thinkers,روني لانجفان,Roni L. Langevin,thk-plangevin,1983-2005,br-sotp
thinkers,بول نوردوف,Paul Nordoff,thk-pnordoff,1959-1977,العلاج بالموسيقى
thinkers,بات أوغدن,Pat Ogden (Hakomi context),thk-pogden-hakomi,1980,هاكومي (Hakomi)
thinkers,بات أوغدِن,Pat Ogden,thk-pogden,1981,IBP (العلاج التكاملي للجسد)
thinkers,باتريتسيا بالارو,Patrizia Pallaro,thk-ppallaro,1985,الحركة الأصيلة
thinkers,بيغي باب,Peggy Papp,thk-ppapp,1970,العلاج الأسري الاستراتيجي (MRI/Palo Alto)
thinkers,بيغي بِن,Peggy Penn,thk-ppenn,1985-2010,الأنظمة اللغوية التعاونية
