thk-mgrof	ستانيسلاف غروف — إحالة
thk-robert-burgess	روبرت إل. بَرجِس
thk-rick-doblin	ريك دوبان (حجر — انظر thk-rmdoblin)
thk-twsalisbury	شخصية غير محدَّدة (حجر — لا يوجد اسم واحد موثَّق)
thk-lbarrett	لورنس بارِت (حجر — شخصية غير موثّقة الوجود)
thk-rkovarsky	ريكاردو كوفارسكي
thk-rklenck	[مؤسِّسو الجمعيات التحليلية البريطانية]
thk-rgreening	ريتشارد إ. غرينينغ
thk-kathylaurenceau	كاثي لورنسو (حجر — شخصية غير موثّقة الوجود)
thk-edward-de-bono	إدوارد دي بونو (حجر — انظر thk-de-bono)
thk-rcasals	راميرو كاسالس
thk-sdesha	كاملِش دي. باتيل / داجي (حجر — slug لا يطابق الاسم)
thk-rlina	ريك لينا
thk-rmhinshaw	روبرت هينشو
thk-mwagreich	موريس هـ. فيغوتش (حجر)
thk-ptedeschi	رافائيل تيدِسكي (حجر)
thk-raltezor	روبرتو آلتِزور
thk-rk-narayan	راماكريشنا نارايان
thk-robertduvall	روبرت دوفال
thk-randystabler	راندي ستابلر
thk-rosemaryalara	روزماري أَلارا
thk-pkuhn	توماس كون (حجر — انظر thk-thomas-kuhn)
thk-rkerbauy	راثيل كربّوي
thk-rbauer	روبرت باور
thk-rick-levy	ريك أ. ليفي
thk-jkabat	جون كابات-زين (حجر — انظر thk-jkabat-zinn)
thk-rmosak	روبرت موشارك
